date,time,line_short_code,headsign,freq_in_sec
22 July 2022, 04:30:17 PM,MRL,to KL Sentral,300
22 July 2022, 04:30:17 PM,SPL,to Sentul Timur,840
22 July 2022, 04:30:17 PM,SPL,to Putra Heights,840
22 July 2022, 04:30:17 PM,SPL,to Sentul Timur,840
22 July 2022, 04:30:17 PM,SPL,to Putra Heights,840
22 July 2022, 04:30:17 PM,PYL,to Putrajaya,360
22 July 2022, 04:30:17 PM,PYL,to Kwasa Damansara,360
22 July 2022, 04:35:02 PM,AGL,to Sentul Timur,480
22 July 2022, 04:35:02 PM,AGL,to Ampang,480
22 July 2022, 04:35:02 PM,KGL,to Kajang,480
22 July 2022, 04:35:02 PM,KGL,to Kwasa Damansara,480
22 July 2022, 04:35:02 PM,KJL,to Gombak,420
22 July 2022, 04:35:02 PM,KJL,to Putra Heights,420
22 July 2022, 04:35:02 PM,MRL,to Titiwangsa,300
22 July 2022, 04:35:02 PM,MRL,to KL Sentral,300
22 July 2022, 04:35:02 PM,SPL,to Sentul Timur,840
22 July 2022, 04:35:02 PM,SPL,to Putra Heights,840
22 July 2022, 04:35:02 PM,SPL,to Sentul Timur,840
22 July 2022, 04:35:02 PM,SPL,to Putra Heights,840
22 July 2022, 04:35:02 PM,PYL,to Putrajaya,360
22 July 2022, 04:35:03 PM,PYL,to Kwasa Damansara,360
22 July 2022, 04:40:01 PM,AGL,to Sentul Timur,480
22 July 2022, 04:40:01 PM,AGL,to Ampang,480
22 July 2022, 04:40:01 PM,KGL,to Kajang,480
22 July 2022, 04:40:01 PM,KGL,to Kwasa Damansara,480
22 July 2022, 04:40:01 PM,KJL,to Gombak,420
22 July 2022, 04:40:01 PM,KJL,to Putra Heights,420
22 July 2022, 04:40:01 PM,MRL,to Titiwangsa,300
22 July 2022, 04:40:01 PM,MRL,to KL Sentral,300
22 July 2022, 04:40:01 PM,SPL,to Sentul Timur,840
22 July 2022, 04:40:02 PM,SPL,to Putra Heights,840
22 July 2022, 04:40:02 PM,SPL,to Sentul Timur,840
22 July 2022, 04:40:02 PM,SPL,to Putra Heights,840
22 July 2022, 04:40:02 PM,PYL,to Putrajaya,360
22 July 2022, 04:40:02 PM,PYL,to Kwasa Damansara,360
22 July 2022, 04:45:01 PM,AGL,to Sentul Timur,480
22 July 2022, 04:45:01 PM,AGL,to Ampang,480
22 July 2022, 04:45:01 PM,KGL,to Kajang,480
22 July 2022, 04:45:01 PM,KGL,to Kwasa Damansara,480
22 July 2022, 04:45:01 PM,KJL,to Gombak,420
22 July 2022, 04:45:01 PM,KJL,to Putra Heights,420
22 July 2022, 04:45:01 PM,MRL,to Titiwangsa,300
22 July 2022, 04:45:01 PM,MRL,to KL Sentral,300
22 July 2022, 04:45:01 PM,SPL,to Sentul Timur,840
22 July 2022, 04:45:02 PM,SPL,to Putra Heights,840
22 July 2022, 04:45:02 PM,SPL,to Sentul Timur,840
22 July 2022, 04:45:02 PM,SPL,to Putra Heights,840
22 July 2022, 04:45:02 PM,PYL,to Putrajaya,360
22 July 2022, 04:45:02 PM,PYL,to Kwasa Damansara,360
22 July 2022, 04:50:01 PM,AGL,to Sentul Timur,480
22 July 2022, 04:50:01 PM,AGL,to Ampang,480
22 July 2022, 04:50:01 PM,KGL,to Kajang,480
22 July 2022, 04:50:01 PM,KGL,to Kwasa Damansara,480
22 July 2022, 04:50:01 PM,KJL,to Gombak,420
22 July 2022, 04:50:02 PM,KJL,to Putra Heights,420
22 July 2022, 04:50:02 PM,MRL,to Titiwangsa,300
22 July 2022, 04:50:02 PM,MRL,to KL Sentral,300
22 July 2022, 04:50:02 PM,SPL,to Sentul Timur,840
22 July 2022, 04:50:02 PM,SPL,to Putra Heights,840
22 July 2022, 04:50:02 PM,SPL,to Sentul Timur,840
22 July 2022, 04:50:02 PM,SPL,to Putra Heights,840
22 July 2022, 04:50:02 PM,PYL,to Putrajaya,360
22 July 2022, 04:50:02 PM,PYL,to Kwasa Damansara,360
22 July 2022, 04:55:01 PM,AGL,to Sentul Timur,480
22 July 2022, 04:55:02 PM,AGL,to Ampang,480
22 July 2022, 04:55:02 PM,KGL,to Kajang,480
22 July 2022, 04:55:02 PM,KGL,to Kwasa Damansara,480
22 July 2022, 04:55:02 PM,KJL,to Gombak,420
22 July 2022, 04:55:02 PM,KJL,to Putra Heights,420
22 July 2022, 04:55:02 PM,MRL,to Titiwangsa,300
22 July 2022, 04:55:02 PM,MRL,to KL Sentral,300
22 July 2022, 04:55:02 PM,SPL,to Sentul Timur,840
22 July 2022, 04:55:02 PM,SPL,to Putra Heights,840
22 July 2022, 04:55:02 PM,SPL,to Sentul Timur,840
22 July 2022, 04:55:03 PM,SPL,to Putra Heights,840
